State or territory,variable,value
Texas,2014,53035
Pennsylvania,2014,53234
Iowa,2014,53712
Nevada,2014,51450
Vermont,2014,54166
Arizona,2014,50068
South Dakota,2014,50979
Kansas,2014,52504
Georgia,2014,49321
Maine,2014,49462
Michigan,2014,49847
Indiana,2014,49446
Ohio,2014,49308
Missouri,2014,48363
Montana,2014,46328
North Carolina,2014,46556
Florida,2014,47463
Idaho,2014,47861
Tennessee,2014,44361
South Carolina,2014,45238
Oklahoma,2014,47529
Kentucky,2014,42958
Alabama,2014,42830
New Mexico,2014,44803
Louisiana,2014,44555
Arkansas,2014,41262
Mississippi,2014,39680
West Virginia,2014,41059
Puerto Rico,2014,18928
District of Columbia,2013,67572
Maryland,2013,72483
New Jersey,2013,70165
Hawaii,2013,68020
Massachusetts,2013,66768
Connecticut,2013,67098
New Hampshire,2013,64230
Alaska,2013,72237
California,2013,60190
Virginia,2013,62666
Washington,2013,58405
Colorado,2013,58823
Minnesota,2013,60702
Utah,2013,59770
New York,2013,57369
Rhode Island,2013,55902
Illinois,2013,56210
Delaware,2013,57846
North Dakota,2013,55759
Wyoming,2013,58752
United States,2013,52250
Oregon,2013,50251
Nebraska,2013,51440
Wisconsin,2013,51467
Texas,2013,51704
Pennsylvania,2013,52007
Iowa,2013,52229
Nevada,2013,51230
Vermont,2013,52578
Arizona,2013,48510
South Dakota,2013,48947
Kansas,2013,50972
Georgia,2013,47829
Maine,2013,46974
Michigan,2013,48273
Indiana,2013,47529
Ohio,2013,48081
Missouri,2013,46931
Montana,2013,46972
North Carolina,2013,45906
Florida,2013,46036
Idaho,2013,46783
Tennessee,2013,44297
South Carolina,2013,44163
Oklahoma,2013,45690
Kentucky,2013,43399
Alabama,2013,42849
New Mexico,2013,43872
Louisiana,2013,44164
Arkansas,2013,40511
Mississippi,2013,37963
West Virginia,2013,41253
